# X	Y	time	B	Z
6.5	6.5	0.008333333333	-3.993371892	0.1807255601
6.5	6.5	0.01666666667	-4.351733882	0.1804516164
6.5	6.5	0.025	-4.690365322	0.1878659001
6.5	6.5	0.03333333333	-4.989632413	0.2142268091
6.5	6.5	0.04166666667	-5.182580932	0.239488976
6.5	6.5	0.05	-5.324339028	0.2636533898
6.5	6.5	0.05833333333	-5.4149067	0.2897403549
6.5	6.5	0.06666666667	-5.462159399	0.3081381035
6.5	6.5	0.075	-5.513349822	0.338618059
6.5	6.5	0.08333333333	-5.552727071	0.3663516538
6.5	6.5	0.09166666667	-5.552727071	0.3638812149
6.5	6.5	0.1	-5.556664796	0.3674503959
6.5	6.5	0.1083333333	-5.568477971	0.3803564121
6.5	6.5	0.1166666667	-5.58422887	0.3987541607
6.5	6.5	0.125	-5.619668394	0.41989827
6.5	6.5	0.1333333333	-5.662983368	0.4509271021
6.5	6.5	0.1416666667	-5.702360617	0.4819569231
6.5	6.5	0.15	-5.710236067	0.4965105579
6.5	6.5	0.1583333333	-5.718111516	0.5423679576
6.5	6.5	0.1666666667	-5.718111516	0.5519787365
6.5	6.5	0.175	-5.718111516	0.5517038038
6.5	6.5	0.1833333333	-5.714173791	0.5722980475
6.5	6.5	0.1916666667	-5.722049241	0.5953647082
6.5	6.5	0.2	-5.749613315	0.6228243592
6.5	6.5	0.2083333333	-5.773239665	0.6522055727
6.5	6.5	0.2166666667	-5.773239665	0.666210331
6.5	6.5	0.225	-5.773239665	0.6744474351
6.5	6.5	0.2333333333	-5.75355104	0.7010832768
6.5	6.5	0.2416666667	-5.741737866	0.7137143602
6.5	6.5	0.25	-5.741737866	0.7161857882
6.5	6.5	0.2583333333	-5.706298342	0.748588295
6.5	6.5	0.2666666667	-5.666921093	0.7763228788
6.5	6.5	0.275	-5.603917495	0.8068028343
6.5	6.5	0.2833333333	-5.536976172	0.8309672481
6.5	6.5	0.2916666667	-5.470034849	0.849090064
6.5	6.5	0.3	-5.355840827	0.8781973336
6.5	6.5	0.3083333333	-5.194394107	0.9103249077
6.5	6.5	0.3166666667	-4.946317439	0.9353131308
6.5	6.5	0.325	-4.792746169	0.9449239098
6.5	6.5	0.3333333333	-4.792746169	0.9449239098
6.5	6.5	0.3416666667	-4.706116221	0.9517883281
6.5	6.5	0.35	-4.678555372	0.9534359467
6.5	6.5	0.3583333333	-4.682489872	0.9545346887
6.5	6.5	0.3666666667	-4.686427597	0.9531620029
6.5	6.5	0.375	-4.698240772	0.9534359467
6.5	6.5	0.3833333333	-4.702178496	0.9534359467
6.5	6.5	0.3916666667	-4.682489872	0.9534359467
6.5	6.5	0.4	-4.674620872	0.9539858122
6.5	6.5	0.4083333333	-4.556489126	0.9616740398
6.5	6.5	0.4166666667	-4.517111877	0.9657930863
6.5	6.5	0.425	-4.458029879	0.9690883236
