# X	Y	time	B	Z
6.5	9.5	0.008333333333	-4.05638839	0.1993982415
6.5	9.5	0.01666666667	-4.06032289	0.2007709274
6.5	9.5	0.025	-4.05638839	0.2002220508
6.5	9.5	0.03333333333	-4.05638839	0.2026934788
6.5	9.5	0.04166666667	-4.05638839	0.2026934788
6.5	9.5	0.05	-4.05638839	0.2026934788
6.5	9.5	0.05833333333	-4.05638839	0.2004969836
6.5	9.5	0.06666666667	-4.05638839	0.202418546
6.5	9.5	0.075	-4.339898132	0.2147756856
6.5	9.5	0.08333333333	-4.808497068	0.2372924808
6.5	9.5	0.09166666667	-5.135328234	0.2639283225
6.5	9.5	0.1	-5.336152203	0.2938594015
6.5	9.5	0.1083333333	-5.446408499	0.3388929918
6.5	9.5	0.1166666667	-5.544851621	0.3822789635
6.5	9.5	0.125	-5.59210432	0.44021857
6.5	9.5	0.1333333333	-5.722049241	0.500079739
6.5	9.5	0.1416666667	-5.729924691	0.5080428993
6.5	9.5	0.15	-5.729924691	0.5083178321
6.5	9.5	0.1583333333	-5.725986966	0.534678741
6.5	9.5	0.1666666667	-5.725986966	0.5786145782
6.5	9.5	0.175	-5.702360617	0.6187053127
6.5	9.5	0.1833333333	-5.781115114	0.6722509399
6.5	9.5	0.1916666667	-5.785052839	0.7112439213
6.5	9.5	0.2	-5.745675591	0.7628669971
6.5	9.5	0.2083333333	-5.702360617	0.8018599785
6.5	9.5	0.2166666667	-5.647232468	0.845519894
6.5	9.5	0.225	-5.59997977	0.8587008429
6.5	9.5	0.2333333333	-5.59997977	0.8619960802
6.5	9.5	0.2416666667	-5.540913897	0.8781973336
6.5	9.5	0.25	-5.450346224	0.9086772891
6.5	9.5	0.2583333333	-5.359778552	0.9391572446
6.5	9.5	0.2666666667	-5.040822836	0.9899575001
6.5	9.5	0.275	-4.552554626	1.019613646
6.5	9.5	0.2833333333	-4.493472628	1.020162523
6.5	9.5	0.2916666667	-4.42652163	1.024281569
6.5	9.5	0.3	-4.308389883	1.03142092
6.5	9.5	0.3083333333	-4.07609314	1.040759734
6.5	9.5	0.3166666667	-3.682320652	1.052291086
6.5	9.5	0.325	-3.304286163	1.061903843
6.5	9.5	0.3333333333	-2.894775675	1.071239689
6.5	9.5	0.3416666667	-2.493101937	1.081119467
6.5	9.5	0.35	-2.138706697	1.089911381
6.5	9.5	0.3583333333	-2.142641197	1.089634471
6.5	9.5	0.3666666667	-2.142641197	1.089911381
6.5	9.5	0.375	-2.142641197	1.089634471
6.5	9.5	0.3833333333	-2.142641197	1.08935756
11.5	9.5	0.008333333333	-3.953994644	0.2032423553
