# X	Y	time	B	Z
6.5	9.5	0.008333333333	-0.1265325067	0.1999471181
6.5	9.5	0.01666666667	-0.1265325067	0.1999471181
6.5	9.5	0.025	-0.1265325067	0.1999471181
6.5	9.5	0.03333333333	-0.1265325067	0.2002220508
6.5	9.5	0.04166666667	-0.1265325067	0.1999471181
6.5	9.5	0.05	-0.1265325067	0.1996731743
6.5	9.5	0.05833333333	-0.1225980068	0.1999471181
6.5	9.5	0.06666666667	-0.1265325067	0.2002220508
6.5	9.5	0.075	-0.1225980068	0.2002220508
6.5	9.5	0.08333333333	-0.1265325067	0.1999471181
6.5	9.5	0.09166666667	-0.1265325067	0.1999471181
6.5	9.5	0.1	-0.1225980068	0.2054398394
6.5	9.5	0.1083333333	-0.1265325067	0.233448367
6.5	9.5	0.1166666667	-0.1265325067	0.2474521363
6.5	9.5	0.125	-0.1225980068	0.3084130363
6.5	9.5	0.1333333333	-0.1225980068	0.4034220838
6.5	9.5	0.1416666667	-0.1265325067	0.4034220838
6.5	9.5	0.15	-0.1225980068	0.4028732073
6.5	9.5	0.1583333333	-0.1225980068	0.4308817349
6.5	9.5	0.1666666667	-0.1265325067	0.4619115559
6.5	9.5	0.175	-0.1225980068	0.5368752362
6.5	9.5	0.1833333333	-0.1225980068	0.562138392
6.5	9.5	0.1916666667	-0.1265325067	0.562138392
6.5	9.5	0.2	-0.1225980068	0.5662574386
6.5	9.5	0.2083333333	-0.1225980068	0.595638652
6.5	9.5	0.2166666667	-0.1225980068	0.6456150982
6.5	9.5	0.225	-0.1225980068	0.7016321533
6.5	9.5	0.2333333333	-0.1225980068	0.7571003319
6.5	9.5	0.2416666667	-0.1225980068	0.7603955692
6.5	9.5	0.25	-0.1225980068	0.7601216254
6.5	9.5	0.2583333333	-0.1225980068	0.7960933133
6.5	9.5	0.2666666667	-0.1225980068	0.8249256502
6.5	9.5	0.275	-0.1225980068	0.8452459502
6.5	9.5	0.2833333333	-0.1186635069	0.8603484615
6.5	9.5	0.2916666667	-0.1225980068	0.8727056012
6.5	9.5	0.3	-0.1225980068	0.8798449522
6.5	9.5	0.3083333333	-0.1225980068	0.880118896
6.5	9.5	0.3166666667	-0.1225980068	0.8814925708
6.5	9.5	0.325	-0.1225980068	0.8971439588
6.5	9.5	0.3333333333	-0.1225980068	0.9045582426
6.5	9.5	0.3416666667	-0.1225980068	0.9342143888
6.5	9.5	0.35	-0.1225980068	0.9567311839
6.5	9.5	0.3583333333	-0.1225980068	0.9655181536
6.5	9.5	0.3666666667	-0.1225980068	0.9660680191
6.5	9.5	0.375	-0.1265325067	0.978150226
6.5	9.5	0.3833333333	-0.1225980068	0.9896825673
6.5	9.5	0.3916666667	-0.1225980068	1.010002867
6.5	9.5	0.4	-0.1225980068	1.02345776
6.5	9.5	0.4083333333	-0.1225980068	1.022908884
6.5	9.5	0.4166666667	-0.1186635069	1.028675549
6.5	9.5	0.425	-0.1225980068	1.039108159
6.5	9.5	0.4333333333	-0.1225980068	1.056405188
6.5	9.5	0.4416666667	-0.1225980068	1.073712106
6.5	9.5	0.45	-0.1225980068	1.091009135
6.5	9.5	0.4583333333	-0.1225980068	1.091829977
6.5	9.5	0.4666666667	-0.1225980068	1.092106888
6.5	9.5	0.475	-0.1225980068	1.089911381
6.5	9.5	0.4833333333	-0.1225980068	1.089911381
11.5	9.5	0.008333333333	-0.1383360064	0.2015947367
11.5	9.5	0.01666666667	-0.1383360064	0.2015947367
11.5	9.5	0.025	-0.1383360064	0.2015947367
11.5	9.5	0.03333333333	-0.1344015065	0.2013207929
11.5	9.5	0.04166666667	-0.1383360064	0.2013207929
11.5	9.5	0.05	-0.1344015065	0.2015947367
11.5	9.5	0.05833333333	-0.1383360064	0.2015947367
11.5	9.5	0.06666666667	-0.1383360064	0.2015947367
11.5	9.5	0.075	-0.1344015065	0.2015947367
11.5	9.5	0.08333333333	-0.1383360064	0.2013207929
11.5	9.5	0.09166666667	-0.1344015065	0.2013207929
11.5	9.5	0.1	-0.1383360064	0.2065375925
11.5	9.5	0.1083333333	-0.1383360064	0.2389400994
11.5	9.5	0.1166666667	-0.1383360064	0.2839736897
11.5	9.5	0.125	-0.1383360064	0.3331263266
11.5	9.5	0.1333333333	-0.1383360064	0.3800814794
11.5	9.5	0.1416666667	-0.1383360064	0.4242912604
11.5	9.5	0.15	-0.1383360064	0.4237423838
11.5	9.5	0.1583333333	-0.1383360064	0.4289601724
11.5	9.5	0.1666666667	-0.1344015065	0.4413163231
11.5	9.5	0.175	-0.1344015065	0.4509271021
11.5	9.5	0.1833333333	-0.1344015065	0.4778378766
