# X	Y	time	B	Z
6.5	6.5	0.008333333333	-0.1344015065	0.1807255601
6.5	6.5	0.01666666667	-0.1383360064	0.1804516164
6.5	6.5	0.025	-0.1344015065	0.1807255601
6.5	6.5	0.03333333333	-0.1344015065	0.1807255601
6.5	6.5	0.04166666667	-0.1344015065	0.1804516164
6.5	6.5	0.05	-0.1383360064	0.1804516164
6.5	6.5	0.05833333333	-0.1344015065	0.1807255601
6.5	6.5	0.06666666667	-0.1344015065	0.1810004929
6.5	6.5	0.075	-0.1344015065	0.1958290605
6.5	6.5	0.08333333333	-0.1344015065	0.2339972436
6.5	6.5	0.09166666667	-0.1383360064	0.2790308339
6.5	6.5	0.1	-0.1383360064	0.320769187
6.5	6.5	0.1083333333	-0.1344015065	0.3342240797
6.5	6.5	0.1166666667	-0.1383360064	0.3441097914
6.5	6.5	0.125	-0.1344015065	0.3660777101
6.5	6.5	0.1333333333	-0.1344015065	0.3754135563
6.5	6.5	0.1416666667	-0.1344015065	0.4146804814
6.5	6.5	0.15	-0.1344015065	0.4253900024
6.5	6.5	0.1583333333	-0.1344015065	0.4440626838
6.5	6.5	0.1666666667	-0.1344015065	0.4764651907
6.5	6.5	0.175	-0.1344015065	0.4948629393
6.5	6.5	0.1833333333	-0.1344015065	0.4965105579
6.5	6.5	0.1916666667	-0.1344015065	0.4978832438
6.5	6.5	0.2	-0.1344015065	0.5190273531
6.5	6.5	0.2083333333	-0.1344015065	0.5486834993
6.5	6.5	0.2166666667	-0.1344015065	0.5709253617
6.5	6.5	0.225	-0.1344015065	0.5942659662
6.5	6.5	0.2333333333	-0.1344015065	0.6178815034
6.5	6.5	0.2416666667	-0.1344015065	0.6442424123
6.5	6.5	0.25	-0.1344015065	0.6667592075
6.5	6.5	0.2583333333	-0.1344015065	0.6909236213
6.5	6.5	0.2666666667	-0.1344015065	0.7266203764
6.5	6.5	0.275	-0.1344015065	0.7551787695
6.5	6.5	0.2833333333	-0.1344015065	0.7908755247
6.5	6.5	0.2916666667	-0.1344015065	0.8378316664
6.5	6.5	0.3	-0.1344015065	0.8696843078
6.5	6.5	0.3083333333	-0.1344015065	0.8886319219
6.5	6.5	0.3166666667	-0.1304670066	0.9240547332
6.5	6.5	0.325	-0.1304670066	0.9594775446
6.5	6.5	0.3333333333	-0.1304670066	0.9863873301
6.5	6.5	0.3416666667	-0.1304670066	1.010002867
6.5	6.5	0.35	-0.1304670066	1.010826677
6.5	6.5	0.3583333333	-0.1304670066	1.011650486
6.5	6.5	0.3666666667	-0.1304670066	1.013572048
6.5	6.5	0.375	-0.1344015065	1.015769533
6.5	6.5	0.3833333333	-0.1304670066	1.029773302
6.5	6.5	0.3916666667	-0.1304670066	1.042678329
6.5	6.5	0.4	-0.1304670066	1.048720916
6.5	6.5	0.4083333333	-0.1304670066	1.048720916
6.5	6.5	0.4166666667	-0.1304670066	1.047900074
11.5	6.5	0.008333333333	-0.1265325067	0.1807255601
11.5	6.5	0.01666666667	-0.1304670066	0.1807255601
11.5	6.5	0.025	-0.1304670066	0.1807255601
11.5	6.5	0.03333333333	-0.1304670066	0.1807255601
11.5	6.5	0.04166666667	-0.1304670066	0.1807255601
11.5	6.5	0.05	-0.1304670066	0.1807255601
11.5	6.5	0.05833333333	-0.1304670066	0.1807255601
11.5	6.5	0.06666666667	-0.1304670066	0.1807255601
11.5	6.5	0.075	-0.1304670066	0.1807255601
11.5	6.5	0.08333333333	-0.1304670066	0.1807255601
11.5	6.5	0.09166666667	-0.1304670066	0.1807255601
11.5	6.5	0.1	-0.1304670066	0.1807255601
11.5	6.5	0.1083333333	-0.1344015065	0.1807255601
11.5	6.5	0.1166666667	-0.1304670066	0.1807255601
11.5	6.5	0.125	-0.1304670066	0.1807255601
11.5	6.5	0.1333333333	-0.1304670066	0.1826481115
11.5	6.5	0.1416666667	-0.1304670066	0.1829230443
11.5	6.5	0.15	-0.1304670066	0.1966528698
11.5	6.5	0.1583333333	-0.1304670066	0.2084601439
11.5	6.5	0.1666666667	-0.1304670066	0.219169665
11.5	6.5	0.175	-0.1304670066	0.2318007484
11.5	6.5	0.1833333333	-0.1304670066	0.2441568991
11.5	6.5	0.1916666667	-0.1304670066	0.257337848
11.5	6.5	0.2	-0.1344015065	0.2842486225
11.5	6.5	0.2083333333	-0.1304670066	0.283698757
11.5	6.5	0.2166666667	-0.1304670066	0.2842486225
11.5	6.5	0.225	-0.1304670066	0.2839736897
