# X	Y	time	B	Z
6.5	3.5	0.008333333333	-3.938256644	0.1815493695
6.5	3.5	0.01666666667	-4.39504563	0.1818243022
6.5	3.5	0.025	-4.887251566	0.1790779415
6.5	3.5	0.03333333333	-5.036885112	0.1810004929
6.5	3.5	0.04166666667	-5.032947387	0.1807255601
6.5	3.5	0.05	-5.032947387	0.1804516164
6.5	3.5	0.05833333333	-5.032947387	0.1807255601
6.5	3.5	0.06666666667	-5.036885112	0.1807255601
6.5	3.5	0.075	-5.036885112	0.1804516164
6.5	3.5	0.08333333333	-5.032947387	0.1807255601
6.5	3.5	0.09166666667	-5.072324635	0.1867671581
6.5	3.5	0.1	-5.221958181	0.2065375925
6.5	3.5	0.1083333333	-5.340089928	0.2260340832
6.5	3.5	0.1166666667	-5.442470775	0.2518461156
6.5	3.5	0.125	-5.497598923	0.2738140342
6.5	3.5	0.1333333333	-5.533038447	0.3009987525
6.5	3.5	0.1416666667	-5.556664796	0.324339357
6.5	3.5	0.15	-5.58422887	0.3520729518
6.5	3.5	0.1583333333	-5.619668394	0.3781599169
6.5	3.5	0.1666666667	-5.655107918	0.4004017794
6.5	3.5	0.175	-5.682671992	0.4286852397
6.5	3.5	0.1833333333	-5.690547442	0.4336280955
6.5	3.5	0.1916666667	-5.690547442	0.4358245907
6.5	3.5	0.2	-5.698422892	0.4555950252
6.5	3.5	0.2083333333	-5.706298342	0.480858181
6.5	3.5	0.2166666667	-5.714173791	0.5165559252
6.5	3.5	0.225	-5.710236067	0.5360514269
6.5	3.5	0.2333333333	-5.710236067	0.5390727203
6.5	3.5	0.2416666667	-5.714173791	0.5508799945
6.5	3.5	0.25	-5.749613315	0.5725729803
6.5	3.5	0.2583333333	-5.788990564	0.5967373941
6.5	3.5	0.2666666667	-5.788990564	0.595638652
6.5	3.5	0.275	-5.788990564	0.5961885175
6.5	3.5	0.2833333333	-5.788990564	0.5959135848
6.5	3.5	0.2916666667	-5.788990564	0.5959135848
6.5	3.5	0.3	-5.788990564	0.5978361362
6.5	3.5	0.3083333333	-5.792928289	0.5972862706
6.5	3.5	0.3166666667	-5.788990564	0.6209018079
6.5	3.5	0.325	-5.77717739	0.6442424123
6.5	3.5	0.3333333333	-5.76142649	0.6727998165
6.5	3.5	0.3416666667	-5.741737866	0.6870795075
6.5	3.5	0.35	-5.718111516	0.7194810254
6.5	3.5	0.3583333333	-5.702360617	0.7290918044
6.5	3.5	0.3666666667	-5.670858818	0.748588295
6.5	3.5	0.375	-5.670858818	0.7447441813
6.5	3.5	0.3833333333	-5.666921093	0.7461168671
6.5	3.5	0.3916666667	-5.647232468	0.7705562137
6.5	3.5	0.4	-5.576353421	0.8004872926
6.5	3.5	0.4083333333	-5.466097124	0.8570532243
6.5	3.5	0.4166666667	-5.391280351	0.9037344333
6.5	3.5	0.425	-5.308588128	0.9498667656
6.5	3.5	0.4333333333	-4.820310243	0.9814444742
6.5	3.5	0.4416666667	-4.39504563	0.9679895815
6.5	3.5	0.45	-3.753173899	1.004785079
6.5	3.5	0.4583333333	-3.107399919	0.9773264167
6.5	3.5	0.4666666667	-2.323789442	1.003412393
6.5	3.5	0.475	-2.272608693	0.991330186
21.5	3.5	0.008333333333	-3.831928397	0.1818243022
21.5	3.5	0.01666666667	-3.985502893	0.1804516164
21.5	3.5	0.025	-4.363537381	0.1810004929
21.5	3.5	0.03333333333	-4.658850623	0.1810004929
21.5	3.5	0.04166666667	-4.903002465	0.1930826998
21.5	3.5	0.05	-5.080200085	0.2125791905
21.5	3.5	0.05833333333	-5.194394107	0.2309769391
21.5	3.5	0.06666666667	-5.25345998	0.2403127853
21.5	3.5	0.075	-5.284961779	0.2490997549
21.5	3.5	0.08333333333	-5.351903102	0.2707927408
21.5	3.5	0.09166666667	-5.403093526	0.2891904894
21.5	3.5	0.1	-5.462159399	0.3276345942
21.5	3.5	0.1083333333	-5.473972574	0.3355977546
21.5	3.5	0.1166666667	-5.493661198	0.3575646842
21.5	3.5	0.125	-5.564540246	0.3872218194
21.5	3.5	0.1333333333	-5.631481569	0.4119351097
21.5	3.5	0.1416666667	-5.631481569	0.4130328628
21.5	3.5	0.15	-5.651170193	0.4339020393
21.5	3.5	0.1583333333	-5.659045643	0.4459842462
21.5	3.5	0.1666666667	-5.655107918	0.4520258442
21.5	3.5	0.175	-5.655107918	0.4599890045
21.5	3.5	0.1833333333	-5.659045643	0.4836045417
21.5	3.5	0.1916666667	-5.662983368	0.4956867486
21.5	3.5	0.2	-5.670858818	0.521498781
21.5	3.5	0.2083333333	-5.682671992	0.5467609479
21.5	3.5	0.2166666667	-5.678734268	0.5506050617
21.5	3.5	0.225	-5.682671992	0.5495073086
21.5	3.5	0.2333333333	-5.678734268	0.5508799945
21.5	3.5	0.2416666667	-5.694485167	0.5624133248
21.5	3.5	0.25	-5.729924691	0.5808110734
21.5	3.5	0.2583333333	-5.741737866	0.5926183475
21.5	3.5	0.2666666667	-5.745675591	0.6000326313
21.5	3.5	0.275	-5.745675591	0.6140364006
21.5	3.5	0.2833333333	-5.722049241	0.636279252
21.5	3.5	0.2916666667	-5.698422892	0.6538531913
21.5	3.5	0.3	-5.686609717	0.6667592075
21.5	3.5	0.3083333333	-5.659045643	0.6870795075
21.5	3.5	0.3166666667	-5.639357019	0.7101451792
21.5	3.5	0.325	-5.631481569	0.7159118444
21.5	3.5	0.3333333333	-5.631481569	0.7219524533
21.5	3.5	0.3416666667	-5.603917495	0.7362311554
21.5	3.5	0.35	-5.59210432	0.7436454392
21.5	3.5	0.3583333333	-5.58422887	0.7436454392
21.5	3.5	0.3666666667	-5.576353421	0.7441953047
21.5	3.5	0.375	-5.572415696	0.7463917999
21.5	3.5	0.3833333333	-5.572415696	0.7461168671
21.5	3.5	0.3916666667	-5.568477971	0.7458419344
21.5	3.5	0.4	-5.568477971	0.7458419344
21.5	3.5	0.4083333333	-5.560602521	0.7513346557
21.5	3.5	0.4166666667	-5.540913897	0.7628669971
21.5	3.5	0.425	-5.485785748	0.7831872971
21.5	3.5	0.4333333333	-5.379467176	0.8095482061
21.5	3.5	0.4416666667	-5.324339028	0.8210815364
21.5	3.5	0.45	-5.300712679	0.8265732688
21.5	3.5	0.4583333333	-5.292837229	0.8301434388
21.5	3.5	0.4666666667	-5.233771356	0.8449710174
21.5	3.5	0.475	-5.107764159	0.869410364
21.5	3.5	0.4833333333	-4.950255164	0.886160494
21.5	3.5	0.4916666667	-4.891189291	0.8965950822
21.5	3.5	0.5	-4.780932994	0.9086772891
21.5	3.5	0.5083333333	-4.308389883	0.9405299305
21.5	3.5	0.5166666667	-3.650812402	0.9635965912
21.5	3.5	0.525	-3.38304066	0.971009886
21.5	3.5	0.5333333333	-2.615168183	0.9921539953
21.5	3.5	0.5416666667	-2.107230698	1.005334944
21.5	3.5	0.55	-2.126903198	1.005060011
36.5	3.5	0.008333333333	-3.859502146	0.1831969881
36.5	3.5	0.01666666667	-4.119404889	0.1801766836
36.5	3.5	0.025	-4.430488379	0.182099235
36.5	3.5	0.03333333333	-4.74549347	0.1810004929
36.5	3.5	0.04166666667	-5.08413781	0.2114804484
36.5	3.5	0.05	-5.221958181	0.2257591505
36.5	3.5	0.05833333333	-5.312525853	0.2545924763
36.5	3.5	0.06666666667	-5.336152203	0.2543175436
36.5	3.5	0.075	-5.336152203	0.253768667
36.5	3.5	0.08333333333	-5.336152203	0.2534937342
36.5	3.5	0.09166666667	-5.332214478	0.2534937342
36.5	3.5	0.1	-5.332214478	0.2534937342
36.5	3.5	0.1083333333	-5.332214478	0.253768667
36.5	3.5	0.1166666667	-5.355840827	0.263379446
36.5	3.5	0.125	-5.434595325	0.2930355922
36.5	3.5	0.1333333333	-5.501536648	0.3542704359
36.5	3.5	0.1416666667	-5.533038447	0.3652539007
36.5	3.5	0.15	-5.635419294	0.4047957587
36.5	3.5	0.1583333333	-5.651170193	0.409188749
36.5	3.5	0.1666666667	-5.662983368	0.4363734673
36.5	3.5	0.175	-5.666921093	0.4657556697
36.5	3.5	0.1833333333	-5.674796543	0.4932153207
36.5	3.5	0.1916666667	-5.678734268	0.516829869
36.5	3.5	0.2	-5.690547442	0.5503311179
36.5	3.5	0.2083333333	-5.694485167	0.5525276131
36.5	3.5	0.2166666667	-5.690547442	0.5528025458
36.5	3.5	0.225	-5.698422892	0.5497812524
36.5	3.5	0.2333333333	-5.698422892	0.5481336338
36.5	3.5	0.2416666667	-5.698422892	0.5492323758
36.5	3.5	0.25	-5.725986966	0.5728479131
36.5	3.5	0.2583333333	-5.737800141	0.5775158362
36.5	3.5	0.2666666667	-5.737800141	0.5769669596
36.5	3.5	0.275	-5.745675591	0.5909707289
36.5	3.5	0.2833333333	-5.733862416	0.6261186075
36.5	3.5	0.2916666667	-5.725986966	0.6324351382
36.5	3.5	0.3	-5.694485167	0.6552258772
36.5	3.5	0.3083333333	-5.666921093	0.6815867861
36.5	3.5	0.3166666667	-5.662983368	0.684058214
36.5	3.5	0.325	-5.655107918	0.6903737558
36.5	3.5	0.3333333333	-5.655107918	0.6898248792
36.5	3.5	0.3416666667	-5.655107918	0.6895499465
36.5	3.5	0.35	-5.655107918	0.6895499465
36.5	3.5	0.3583333333	-5.655107918	0.6898248792
36.5	3.5	0.3666666667	-5.631481569	0.7172845302
36.5	3.5	0.375	-5.588166595	0.7409000675
36.5	3.5	0.3833333333	-5.540913897	0.7636908064
36.5	3.5	0.3916666667	-5.442470775	0.789228895
36.5	3.5	0.4	-5.391280351	0.7996634833
36.5	3.5	0.4083333333	-5.387342626	0.801310113
36.5	3.5	0.4166666667	-5.304650404	0.8268482016
36.5	3.5	0.425	-5.194394107	0.850188806
36.5	3.5	0.4333333333	-5.064449186	0.8683116219
36.5	3.5	0.4416666667	-4.942379714	0.8883569891
36.5	3.5	0.45	-4.603735374	0.9138940888
36.5	3.5	0.4583333333	-4.265078134	0.9328417029
36.5	3.5	0.4666666667	-4.249340135	0.9325667701
36.5	3.5	0.475	-4.013076642	0.9427274146
36.5	3.5	0.4833333333	-3.997338642	0.9419036053
36.5	3.5	0.4916666667	-3.902813895	0.9468454722
36.5	3.5	0.5	-3.501172407	0.9611251632
36.5	3.5	0.5083333333	-3.39484416	0.964969277
36.5	3.5	0.5166666667	-2.969563423	0.9792479791
36.5	3.5	0.525	-2.422248689	0.9929778046
36.5	3.5	0.5333333333	-2.422248689	0.9918790625
53	3.5	0.008333333333	-3.938256644	0.1812754257
53	3.5	0.01666666667	-3.938256644	0.1812754257
53	3.5	0.025	-3.934322144	0.1815493695
53	3.5	0.03333333333	-3.953994644	0.1812754257
53	3.5	0.04166666667	-4.40291463	0.1804516164
53	3.5	0.05	-4.812434793	0.1807255601
53	3.5	0.05833333333	-5.025071937	0.1812754257
53	3.5	0.06666666667	-5.162892308	0.1930826998
53	3.5	0.075	-5.320401303	0.2197185415
53	3.5	0.08333333333	-5.391280351	0.2331734343
53	3.5	0.09166666667	-5.42278215	0.2447067646
53	3.5	0.1	-5.481848023	0.2685962456
53	3.5	0.1083333333	-5.552727071	0.3007238197
53	3.5	0.1166666667	-5.58422887	0.3471300959
53	3.5	0.125	-5.60785522	0.3603110449
53	3.5	0.1333333333	-5.647232468	0.3905160676
53	3.5	0.1416666667	-5.702360617	0.4204471466
53	3.5	0.15	-5.718111516	0.4399436373
53	3.5	0.1583333333	-5.722049241	0.4638331183
53	3.5	0.1666666667	-5.733862416	0.4893702179
53	3.5	0.175	-5.741737866	0.5162809924
53	3.5	0.1833333333	-5.749613315	0.5387977876
53	3.5	0.1916666667	-5.749613315	0.545388262
53	3.5	0.2	-5.75355104	0.54428952
53	3.5	0.2083333333	-5.757488765	0.5536263551
53	3.5	0.2166666667	-5.765364215	0.5560967941
53	3.5	0.225	-5.765364215	0.5555479176
53	3.5	0.2333333333	-5.765364215	0.5555479176
53	3.5	0.2416666667	-5.76142649	0.5558228503
53	3.5	0.25	-5.765364215	0.5552739738
53	3.5	0.2583333333	-5.773239665	0.5624133248
53	3.5	0.2666666667	-5.77717739	0.5679050572
53	3.5	0.275	-5.804741464	0.5997576986
53	3.5	0.2833333333	-5.781115114	0.6338078241
53	3.5	0.2916666667	-5.76142649	0.6508328868
53	3.5	0.3	-5.749613315	0.662640161
53	3.5	0.3083333333	-5.733862416	0.6749973006
53	3.5	0.3166666667	-5.725986966	0.6829604609
53	3.5	0.325	-5.722049241	0.687628384
53	3.5	0.3333333333	-5.702360617	0.7128905509
53	3.5	0.3416666667	-5.651170193	0.7458419344
53	3.5	0.35	-5.568477971	0.7807158692
53	3.5	0.3583333333	-5.540913897	0.7840111064
53	3.5	0.3666666667	-5.497598923	0.8026837878
53	3.5	0.375	-5.383404901	0.8290446967
53	3.5	0.3833333333	-5.344027652	0.8342614964
53	3.5	0.3916666667	-5.143203683	0.8727056012
53	3.5	0.4	-4.954192889	0.8875331798
53	3.5	0.4083333333	-4.903002465	0.8916522264
53	3.5	0.4166666667	-4.859687492	0.8949474636
53	3.5	0.425	-4.843936592	0.8965950822
53	3.5	0.4333333333	-4.792746169	0.9020868146
53	3.5	0.4416666667	-4.800621618	0.9020868146
53	3.5	0.45	-4.674620872	0.9089522219
53	3.5	0.4583333333	-4.639178123	0.9130702795
53	3.5	0.4666666667	-4.647047123	0.9105998405
53	3.5	0.475	-4.335963632	0.9287226563
53	3.5	0.4833333333	-4.05638839	0.9364108839
53	3.5	0.4916666667	-3.914617395	0.9408048632
53	3.5	0.5	-3.355466911	0.9611251632
53	3.5	0.5083333333	-2.256838444	0.9872111394
53	3.5	0.5166666667	-2.233231444	0.9872111394
53	3.5	0.525	-2.209592195	0.9877610049
