# X	Y	time	B	Z
6.5	3.5	0.008333333333	-0.1383360064	0.1818243022
6.5	3.5	0.01666666667	-0.1344015065	0.179627807
6.5	3.5	0.025	-0.1383360064	0.1799017508
6.5	3.5	0.03333333333	-0.1383360064	0.179627807
6.5	3.5	0.04166666667	-0.1383360064	0.1807255601
6.5	3.5	0.05	-0.1383360064	0.1810004929
6.5	3.5	0.05833333333	-0.1383360064	0.1944553857
6.5	3.5	0.06666666667	-0.1383360064	0.2114804484
6.5	3.5	0.075	-0.1383360064	0.2175220463
6.5	3.5	0.08333333333	-0.1383360064	0.2449807084
6.5	3.5	0.09166666667	-0.1383360064	0.2644771991
6.5	3.5	0.1	-0.1383360064	0.2721664156
6.5	3.5	0.1083333333	-0.1383360064	0.2938594015
6.5	3.5	0.1166666667	-0.1344015065	0.3136298359
6.5	3.5	0.125	-0.1344015065	0.3320275846
6.5	3.5	0.1333333333	-0.1344015065	0.3405406104
6.5	3.5	0.1416666667	-0.1383360064	0.3460323428
6.5	3.5	0.15	-0.1383360064	0.3732170611
6.5	3.5	0.1583333333	-0.1383360064	0.3842005259
6.5	3.5	0.1666666667	-0.1383360064	0.3831027728
6.5	3.5	0.175	-0.1383360064	0.4050697025
6.5	3.5	0.1833333333	-0.1344015065	0.4300579255
6.5	3.5	0.1916666667	-0.1344015065	0.442689998
6.5	3.5	0.2	-0.1383360064	0.4424150652
6.5	3.5	0.2083333333	-0.1344015065	0.4577925093
6.5	3.5	0.2166666667	-0.1344015065	0.4660306024
6.5	3.5	0.225	-0.1383360064	0.4794854952
6.5	3.5	0.2333333333	-0.1344015065	0.4822308669
6.5	3.5	0.2416666667	-0.1304670066	0.4794854952
6.5	3.5	0.25	-0.1344015065	0.4822308669
6.5	3.5	0.2583333333	-0.1383360064	0.5047476621
6.5	3.5	0.2666666667	-0.1344015065	0.5050225948
6.5	3.5	0.275	-0.1344015065	0.5236952762
6.5	3.5	0.2833333333	-0.1344015065	0.5522526803
6.5	3.5	0.2916666667	-0.1383360064	0.5560967941
6.5	3.5	0.3	-0.1344015065	0.5761431503
6.5	3.5	0.3083333333	-0.1344015065	0.6041516779
6.5	3.5	0.3166666667	-0.1344015065	0.6170576941
6.5	3.5	0.325	-0.1344015065	0.6285900354
6.5	3.5	0.3333333333	-0.1344015065	0.6313363961
6.5	3.5	0.3416666667	-0.1344015065	0.6302376541
6.5	3.5	0.35	-0.1383360064	0.639848433
6.5	3.5	0.3583333333	-0.1383360064	0.6472627168
6.5	3.5	0.3666666667	-0.1344015065	0.659069991
6.5	3.5	0.375	-0.1344015065	0.676918863
6.5	3.5	0.3833333333	-0.1344015065	0.6857058327
6.5	3.5	0.3916666667	-0.1344015065	0.6986118489
6.5	3.5	0.4	-0.1383360064	0.7266203764
6.5	3.5	0.4083333333	-0.1383360064	0.7400762582
6.5	3.5	0.4166666667	-0.1383360064	0.7472156092
6.5	3.5	0.425	-0.1383360064	0.7609454347
6.5	3.5	0.4333333333	-0.1344015065	0.7724777761
6.5	3.5	0.4416666667	-0.1344015065	0.7980158647
6.5	3.5	0.45	-0.1344015065	0.8257494595
6.5	3.5	0.4583333333	-0.1344015065	0.8504627498
6.5	3.5	0.4666666667	-0.1383360064	0.8595246522
6.5	3.5	0.475	-0.1383360064	0.8727056012
6.5	3.5	0.4833333333	-0.1344015065	0.8965950822
6.5	3.5	0.4916666667	-0.1344015065	0.907578547
6.5	3.5	0.5	-0.1383360064	0.9177391915
6.5	3.5	0.5083333333	-0.1344015065	0.9251524863
6.5	3.5	0.5166666667	-0.1383360064	0.9386083681
6.5	3.5	0.525	-0.1383360064	0.9575549932
6.5	3.5	0.5333333333	-0.1383360064	0.9715597515
6.5	3.5	0.5416666667	-0.1383360064	0.975678798
6.5	3.5	0.55	-0.1423027562	0.975678798
6.5	3.5	0.5583333333	-0.1383360064	0.9732073701
6.5	3.5	0.5666666667	-0.1344015065	0.972108628
6.5	3.5	0.575	-0.1383360064	0.974580056
21.5	3.5	0.008333333333	-0.1383360064	0.1812754257
21.5	3.5	0.01666666667	-0.1423027562	0.1815493695
21.5	3.5	0.025	-0.1383360064	0.1815493695
21.5	3.5	0.03333333333	-0.1423027562	0.1812754257
21.5	3.5	0.04166666667	-0.1423027562	0.1815493695
21.5	3.5	0.05	-0.1383360064	0.1815493695
21.5	3.5	0.05833333333	-0.1423027562	0.1801766836
21.5	3.5	0.06666666667	-0.1383360064	0.1807255601
21.5	3.5	0.075	-0.1383360064	0.185668416
21.5	3.5	0.08333333333	-0.1423027562	0.2188947322
21.5	3.5	0.09166666667	-0.1383360064	0.2205423508
21.5	3.5	0.1	-0.1383360064	0.2328985015
21.5	3.5	0.1083333333	-0.1423027562	0.270518797
21.5	3.5	0.1166666667	-0.1383360064	0.2820511384
21.5	3.5	0.125	-0.1383360064	0.283698757
21.5	3.5	0.1333333333	-0.1383360064	0.3012726963
21.5	3.5	0.1416666667	-0.1383360064	0.3177488825
21.5	3.5	0.15	-0.1383360064	0.3251631663
21.5	3.5	0.1583333333	-0.1423027562	0.3611348542
21.5	3.5	0.1666666667	-0.1383360064	0.3984802169
21.5	3.5	0.175	-0.1383360064	0.409188749
21.5	3.5	0.1833333333	-0.1423027562	0.4319804769
21.5	3.5	0.1916666667	-0.1383360064	0.4352757142
21.5	3.5	0.2	-0.1383360064	0.435549658
21.5	3.5	0.2083333333	-0.1383360064	0.4476318648
21.5	3.5	0.2166666667	-0.1383360064	0.4643829838
21.5	3.5	0.225	-0.1383360064	0.4926654552
21.5	3.5	0.2333333333	-0.1383360064	0.5077689555
21.5	3.5	0.2416666667	-0.1383360064	0.5434657107
21.5	3.5	0.25	-0.1383360064	0.5495073086
